Home/Neutral,PTS,Visitor/Neutral,PTS_1,Spread,Total,Result,Home_AdjOE,Home_Off_TO,Home_Off_OR,Home_Off_FTRate,Home_AdjDE,Home_Def_TO,Home_Def_OR,Home_Def_FTRate,Home_3P,Home_2P,Home_FT,Home_Tempo_Adj,Home_Avg_Poss_Length_Offense,Home_Avg_Poss_Length_Defense,Home_EffHgt,Home_Experience,Home_Continuity,Home_Best_Rank,Home_Top_50_Finishes,Home_opp_shooting_3P,Home_opp_shooting_2P,Home_opp_shooting_FT,Away_AdjOE,Away_Off_TO,Away_Off_OR,Away_Off_FTRate,Away_AdjDE,Away_Def_TO,Away_Def_OR,Away_Def_FTRate,Away_3P,Away_2P,Away_FT,Away_Tempo_Adj,Away_Avg_Poss_Length_Offense,Away_Avg_Poss_Length_Defense,Away_EffHgt,Away_Experience,Away_Continuity,Away_Best_Rank,Away_Top_50_Finishes,Away_opp_shooting_3P,Away_opp_shooting_2P,Away_opp_shooting_FT,Predicted_score_Home,Predicted_score_away,Predicted_tempo,Predicted_spread,Predicted_total,Predicted_Result
California,51,USC,66,-15,117,0,99.7,21.2,26.4,31.3,106.5,16.4,29.6,31.5,29.8,45.7,73.2,62.1,19.7,17.8,2,99.7,36.4,13.19,3,33.1,52.3,71.3,113,18.8,29.3,32.6,97.9,19.2,33.2,29,32.5,52.2,73.9,67.9,16.8,18.1,1.5,113,46.9,20.1,3,33.8,42,72.7,61.72467877,74.45967877,65,12.735,136.1843575,0
Colorado,59,Arizona St.,60,-1,119,0,106.8,19.9,32.7,32.2,93.8,20.9,25.3,32.1,32.1,50.3,68.1,69.6,16.3,17.8,1.3,106.8,49.5,13.95,1,32.5,46.4,70.7,107.8,17.7,29.6,32.5,96.5,20.4,30.8,32.4,32.2,48.7,69.5,68.3,16.5,17.7,1,107.8,35,14.99,1,33,43,70.1,69.31463617,66.64248617,68.95,-2.67215,135.9571223,1
Oregon,74,Washington St.,60,14,134,1,113.5,19.3,32.3,33.4,99.3,17.2,27,23.4,31.2,54.3,69.4,66.7,17.9,17.8,2.4,113.5,48.4,22.5,6,33.6,46.4,78.5,110.7,19.7,32.3,28.3,98.7,16.7,26.3,30,35.8,46.7,71.6,63.9,19.2,17.8,0.7,110.7,35.2,9.39,1,32.2,50.9,67.2,71.53643883,68.59983883,65.3,-2.9366,140.1362777,1
Oregon St.,66,Washington,65,1,131,1,100.7,21.2,23.7,34.7,103.1,18.3,30.9,33.8,33.9,46.3,73.1,63.4,18.8,18.2,1.1,100.7,21,7.63,0,32.3,49.3,71.1,106.1,20.3,26.5,31,100.2,18.4,33.5,25.9,32.1,49.9,75,69.1,17.1,17.3,1.2,106.1,35.5,15.64,4,29.5,49.5,70.8,65.06909567,69.06784567,66.25,3.99875,134.1369413,0
Stanford,66,UCLA,80,-14,146,0,110.3,19.4,31.8,30.4,103.6,19.4,25.2,28.2,32.8,51.8,71.3,65.5,18.1,18.1,1.5,110.3,72.4,19.7,8,34.9,49.9,73.2,115.6,15.5,35.4,24.2,88.9,24.8,28.4,25.7,35.8,50.7,71.6,65.8,17.8,17.9,0.2,115.6,46.7,25.83,10,30.6,48.2,70,63.37732556,75.00732556,65.65,11.63,138.3846511,0
Utah,81,Arizona,66,15,147,1,109.2,18,31.8,30.5,95.5,16.3,28.8,24.6,34.7,49.6,71.6,66.3,17.7,18.3,1.3,109.2,58.9,15.63,5,28.4,43.6,65.9,118.6,19.1,33.3,37.9,96.3,17.1,26.5,25.6,36.3,56.7,73.5,72.2,15.6,17,2.7,118.6,44.9,30,19,31.6,45.5,70.1,71.13319623,75.58869623,69.25,4.4555,146.7218925,0
Arizona,81,California,68,13,149,1,118.6,19.1,33.3,37.9,96.3,17.1,26.5,25.6,36.3,56.7,73.5,72.2,15.6,17,2.7,118.6,44.9,30,19,31.6,45.5,70.1,99.7,21.2,26.4,31.3,106.5,16.4,29.6,31.5,29.8,45.7,73.2,62.1,19.7,17.8,2,99.7,36.4,13.19,3,33.1,52.3,71.3,82.18297584,61.14232584,67.15,-21.04065,143.3253017,1
Arizona St.,68,Stanford,64,4,132,1,107.8,17.7,29.6,32.5,96.5,20.4,30.8,32.4,32.2,48.7,69.5,68.3,16.5,17.7,1,107.8,35,14.99,1,33,43,70.1,110.3,19.4,31.8,30.4,103.6,19.4,25.2,28.2,32.8,51.8,71.3,65.5,18.1,18.1,1.5,110.3,72.4,19.7,8,34.9,49.9,73.2,72.71729246,68.13989246,66.9,-4.5774,140.8571849,1
USC,63,Oregon St.,62,1,125,1,113,18.8,29.3,32.6,97.9,19.2,33.2,29,32.5,52.2,73.9,67.9,16.8,18.1,1.5,113,46.9,20.1,3,33.8,42,72.7,100.7,21.2,23.7,34.7,103.1,18.3,30.9,33.8,33.9,46.3,73.1,63.4,18.8,18.2,1.1,100.7,21,7.63,0,32.3,49.3,71.1,74.47217556,61.48342556,65.65,-12.98875,135.9556011,1
UCLA,65,Oregon,56,9,121,1,115.6,15.5,35.4,24.2,88.9,24.8,28.4,25.7,35.8,50.7,71.6,65.8,17.8,17.9,0.2,115.6,46.7,25.83,10,30.6,48.2,70,113.5,19.3,32.3,33.4,99.3,17.2,27,23.4,31.2,54.3,69.4,66.7,17.9,17.8,2.4,113.5,48.4,22.5,6,33.6,46.4,78.5,74.34409567,64.56284567,66.25,-9.78125,138.9069413,1
