Home/Neutral,PTS,Visitor/Neutral,PTS_1,Spread,Total,Result,Home_AdjOE,Home_Off_TO,Home_Off_OR,Home_Off_FTRate,Home_AdjDE,Home_Def_TO,Home_Def_OR,Home_Def_FTRate,Home_3P,Home_2P,Home_FT,Home_Tempo_Adj,Home_Avg_Poss_Length_Offense,Home_Avg_Poss_Length_Defense,Home_EffHgt,Home_Experience,Home_Continuity,Home_Best_Rank,Home_Top_50_Finishes,Home_opp_shooting_3P,Home_opp_shooting_2P,Home_opp_shooting_FT,Away_AdjOE,Away_Off_TO,Away_Off_OR,Away_Off_FTRate,Away_AdjDE,Away_Def_TO,Away_Def_OR,Away_Def_FTRate,Away_3P,Away_2P,Away_FT,Away_Tempo_Adj,Away_Avg_Poss_Length_Offense,Away_Avg_Poss_Length_Defense,Away_EffHgt,Away_Experience,Away_Continuity,Away_Best_Rank,Away_Top_50_Finishes,Away_opp_shooting_3P,Away_opp_shooting_2P,Away_opp_shooting_FT,Predicted_score_Home,Predicted_score_away,Predicted_tempo,Predicted_spread,Predicted_total,Predicted_Result
Iowa St.,77,Baylor,62,15,139,1,111.1,19.2,34.2,25.9,91.2,26.9,28,40,35.1,51.9,66,64.2,18.6,17.4,0.4,111.1,40.5,18.12,7,31.8,49.3,71.4,120.8,17.7,36.7,38.2,99.5,20.7,28.8,32.4,35.8,51.7,75,67.1,17.5,17.4,0.5,120.8,40.4,22.31,8,32.6,51.5,71.1,70.86142556,70.28052556,65.65,-0.5809,141.1419511,1
Kansas,69,Oklahoma St.,67,2,136,1,115.5,17.7,30.3,30.3,93.5,20.3,27.9,32.8,35.3,52,72.8,69.1,16.4,17.7,0.3,115.5,36.9,36.45,25,31.6,46.8,72.9,108,20.9,31.4,31.3,90.3,19.5,28.4,31.5,32.7,50.9,71.3,67.5,17.2,17.7,1.4,108,47.5,20.06,7,29.4,43.2,74.8,70.38283939,65.94593939,68.3,-4.4369,136.3287788,1
Kansas St.,82,West Virginia,76,6,158,1,113.9,19.4,31.8,38,94.3,21.4,29.8,36.7,35.3,51,75.1,69.5,16.5,17.7,0.9,113.9,19.2,15.99,3,28.6,49,67.9,116.8,17.9,34.1,42.3,96.4,21.3,28,40.4,35.1,52.2,72,68.3,17.8,16.6,0.9,116.8,17,20.59,12,31.6,50.5,71.2,74.0884595,73.1396595,68.9,-0.9488,147.228119,1
Oklahoma,69,Texas,70,-1,139,0,112.3,19.7,23.1,28.9,98.6,15.3,27.3,30.2,35.3,53.7,73,64.7,18.2,18,0.7,112.3,46.2,21.28,8,29.8,47.9,72.4,117.9,17.1,29.7,31.7,95.8,22.2,28.7,34.8,33,56,75,69.2,16.2,17.7,-0.7,117.9,47.1,27.42,12,32.4,48.3,72.1,70.56116913,74.68496913,66.95,4.1238,145.2461383,0
TCU,67,Texas Tech,61,6,128,1,112.4,16.9,32.7,35.5,93.4,22.8,31.2,29,28.7,53.2,71.6,70.2,16,17.8,0.2,112.4,78.6,10.58,2,30.2,47.6,68.6,110.2,19.9,32.1,37.5,99.2,21.5,30.1,28.4,33.8,53.9,70.4,67.1,17.3,17.7,0.4,110.2,19.2,19.49,5,33.1,48.8,70.8,74.71752612,67.72552612,68.65,-6.992,142.4430522,1
Oklahoma St.,67,West Virginia,60,7,127,1,108,20.9,31.4,31.3,90.3,19.5,28.4,31.5,32.7,50.9,71.3,67.5,17.2,17.7,1.4,108,47.5,20.06,7,29.4,43.2,74.8,116.8,17.9,34.1,42.3,96.4,21.3,28,40.4,35.1,52.2,72,68.3,17.8,16.6,0.9,116.8,17,20.59,12,31.6,50.5,71.2,69.02882598,69.36212598,67.9,0.3333,138.390952,0
Texas,103,Kansas St.,116,-13,219,0,117.9,17.1,29.7,31.7,95.8,22.2,28.7,34.8,33,56,75,69.2,16.2,17.7,-0.7,117.9,47.1,27.42,12,32.4,48.3,72.1,113.9,19.4,31.8,38,94.3,21.4,29.8,36.7,35.3,51,75.1,69.5,16.5,17.7,0.9,113.9,19.2,15.99,3,28.6,49,67.9,75.88019958,72.64644958,69.35,-3.23375,148.5266492,1
Texas Tech,72,Kansas,75,-3,147,0,110.2,19.9,32.1,37.5,99.2,21.5,30.1,28.4,33.8,53.9,70.4,67.1,17.3,17.7,0.4,110.2,19.2,19.49,5,33.1,48.8,70.8,115.5,17.7,30.3,30.3,93.5,20.3,27.9,32.8,35.3,52,72.8,69.1,16.4,17.7,0.3,115.5,36.9,36.45,25,31.6,46.8,72.9,68.75103268,74.74203268,68.1,5.991,143.4930654,0
Baylor,87,TCU,88,-1,175,0,120.8,17.7,36.7,38.2,99.5,20.7,28.8,32.4,35.8,51.7,75,67.1,17.5,17.4,0.5,120.8,40.4,22.31,8,32.6,51.5,71.1,112.4,16.9,32.7,35.5,93.4,22.8,31.2,29,28.7,53.2,71.6,70.2,16,17.8,0.2,112.4,78.6,10.58,2,30.2,47.6,68.6,76.50242612,73.42347612,68.65,-3.07895,149.9259022,1
Oklahoma,60,Iowa St.,63,-3,123,0,112.3,19.7,23.1,28.9,98.6,15.3,27.3,30.2,35.3,53.7,73,64.7,18.2,18,0.7,112.3,46.2,21.28,8,29.8,47.9,72.4,111.1,19.2,34.2,25.9,91.2,26.9,28,40,35.1,51.9,66,64.2,18.6,17.4,0.4,111.1,40.5,18.12,7,31.8,49.3,71.4,65.01763534,67.51353534,64.45,2.4959,132.5311707,0
Baylor,95,Kansas St.,97,-2,192,0,120.8,17.7,36.7,38.2,99.5,20.7,28.8,32.4,35.8,51.7,75,67.1,17.5,17.4,0.5,120.8,40.4,22.31,8,32.6,51.5,71.1,113.9,19.4,31.8,38,94.3,21.4,29.8,36.7,35.3,51,75.1,69.5,16.5,17.7,0.9,113.9,19.2,15.99,3,28.6,49,67.9,76.73473939,74.07363939,68.3,-2.6611,150.8083788,1
Oklahoma St.,46,Texas,56,-10,102,0,108,20.9,31.4,31.3,90.3,19.5,28.4,31.5,32.7,50.9,71.3,67.5,17.2,17.7,1.4,108,47.5,20.06,7,29.4,43.2,74.8,117.9,17.1,29.7,31.7,95.8,22.2,28.7,34.8,33,56,75,69.2,16.2,17.7,-0.7,117.9,47.1,27.42,12,32.4,48.3,72.1,69.06626606,70.57366606,68.35,1.5074,139.6399321,0
TCU,67,Iowa St.,69,-2,136,0,112.4,16.9,32.7,35.5,93.4,22.8,31.2,29,28.7,53.2,71.6,70.2,16,17.8,0.2,112.4,78.6,10.58,2,30.2,47.6,68.6,111.1,19.2,34.2,25.9,91.2,26.9,28,40,35.1,51.9,66,64.2,18.6,17.4,0.4,111.1,40.5,18.12,7,31.8,49.3,71.4,67.79505251,66.89985251,67.2,-0.8952,134.694905,1
Texas Tech,63,Oklahoma,68,-5,131,0,110.2,19.9,32.1,37.5,99.2,21.5,30.1,28.4,33.8,53.9,70.4,67.1,17.3,17.7,0.4,110.2,19.2,19.49,5,33.1,48.8,70.8,112.3,19.7,23.1,28.9,98.6,15.3,27.3,30.2,35.3,53.7,73,64.7,18.2,18,0.7,112.3,46.2,21.28,8,29.8,47.9,72.4,69.93935894,70.21865894,65.9,0.2793,140.1580179,0
West Virginia,62,Kansas,76,-14,138,0,116.8,17.9,34.1,42.3,96.4,21.3,28,40.4,35.1,52.2,72,68.3,17.8,16.6,0.9,116.8,17,20.59,12,31.6,50.5,71.2,115.5,17.7,30.3,30.3,93.5,20.3,27.9,32.8,35.3,52,72.8,69.1,16.4,17.7,0.3,115.5,36.9,36.45,25,31.6,46.8,72.9,73.87775279,73.47695279,68.7,-0.4008,147.3547056,1
Iowa St.,84,Texas Tech,50,34,134,1,111.1,19.2,34.2,25.9,91.2,26.9,28,40,35.1,51.9,66,64.2,18.6,17.4,0.4,111.1,40.5,18.12,7,31.8,49.3,71.4,110.2,19.9,32.1,37.5,99.2,21.5,30.1,28.4,33.8,53.9,70.4,67.1,17.3,17.7,0.4,110.2,19.2,19.49,5,33.1,48.8,70.8,70.66447556,63.32162556,65.65,-7.34285,133.9861011,1
Kansas,79,Oklahoma,75,4,154,1,115.5,17.7,30.3,30.3,93.5,20.3,27.9,32.8,35.3,52,72.8,69.1,16.4,17.7,0.3,115.5,36.9,36.45,25,31.6,46.8,72.9,112.3,19.7,23.1,28.9,98.6,15.3,27.3,30.2,35.3,53.7,73,64.7,18.2,18,0.7,112.3,46.2,21.28,8,29.8,47.9,72.4,74.52359246,67.47089246,66.9,-7.0527,141.9944849,1
Kansas St.,65,Oklahoma St.,57,8,122,1,113.9,19.4,31.8,38,94.3,21.4,29.8,36.7,35.3,51,75.1,69.5,16.5,17.7,0.9,113.9,19.2,15.99,3,28.6,49,67.9,108,20.9,31.4,31.3,90.3,19.5,28.4,31.5,32.7,50.9,71.3,67.5,17.2,17.7,1.4,108,47.5,20.06,7,29.4,43.2,74.8,69.48854609,66.68704609,68.5,-2.8015,136.1755922,1
Texas,79,TCU,75,4,154,1,117.9,17.1,29.7,31.7,95.8,22.2,28.7,34.8,33,56,75,69.2,16.2,17.7,-0.7,117.9,47.1,27.42,12,32.4,48.3,72.1,112.4,16.9,32.7,35.5,93.4,22.8,31.2,29,28.7,53.2,71.6,70.2,16,17.8,0.2,112.4,78.6,10.58,2,30.2,47.6,68.6,75.62828631,71.96758631,69.7,-3.6607,147.5958726,1
West Virginia,78,Baylor,83,-5,161,0,116.8,17.9,34.1,42.3,96.4,21.3,28,40.4,35.1,52.2,72,68.3,17.8,16.6,0.9,116.8,17,20.59,12,31.6,50.5,71.2,120.8,17.7,36.7,38.2,99.5,20.7,28.8,32.4,35.8,51.7,75,67.1,17.5,17.4,0.5,120.8,40.4,22.31,8,32.6,51.5,71.1,76.88621927,75.99551927,67.7,-0.8907,152.8817385,1
Baylor,74,Oklahoma St.,58,16,132,1,120.8,17.7,36.7,38.2,99.5,20.7,28.8,32.4,35.8,51.7,75,67.1,17.5,17.4,0.5,120.8,40.4,22.31,8,32.6,51.5,71.1,108,20.9,31.4,31.3,90.3,19.5,28.4,31.5,32.7,50.9,71.3,67.5,17.2,17.7,1.4,108,47.5,20.06,7,29.4,43.2,74.8,72.94120587,69.01840587,67.3,-3.9228,141.9596117,1
Kansas,62,Iowa St.,60,2,122,1,115.5,17.7,30.3,30.3,93.5,20.3,27.9,32.8,35.3,52,72.8,69.1,16.4,17.7,0.3,115.5,36.9,36.45,25,31.6,46.8,72.9,111.1,19.2,34.2,25.9,91.2,26.9,28,40,35.1,51.9,66,64.2,18.6,17.4,0.4,111.1,40.5,18.12,7,31.8,49.3,71.4,69.31860908,66.41895908,66.65,-2.89965,135.7375682,1
Oklahoma,77,West Virginia,76,1,153,1,112.3,19.7,23.1,28.9,98.6,15.3,27.3,30.2,35.3,53.7,73,64.7,18.2,18,0.7,112.3,46.2,21.28,8,29.8,47.9,72.4,116.8,17.9,34.1,42.3,96.4,21.3,28,40.4,35.1,52.2,72,68.3,17.8,16.6,0.9,116.8,17,20.59,12,31.6,50.5,71.2,70.49597905,73.45147905,66.5,2.9555,143.9474581,0
TCU,82,Kansas St.,68,14,150,1,112.4,16.9,32.7,35.5,93.4,22.8,31.2,29,28.7,53.2,71.6,70.2,16,17.8,0.2,112.4,78.6,10.58,2,30.2,47.6,68.6,113.9,19.4,31.8,38,94.3,21.4,29.8,36.7,35.3,51,75.1,69.5,16.5,17.7,0.9,113.9,19.2,15.99,3,28.6,49,67.9,72.57471634,71.49381634,69.85,-1.0809,144.0685327,1
Texas,72,Texas Tech,70,2,142,1,117.9,17.1,29.7,31.7,95.8,22.2,28.7,34.8,33,56,75,69.2,16.2,17.7,-0.7,117.9,47.1,27.42,12,32.4,48.3,72.1,110.2,19.9,32.1,37.5,99.2,21.5,30.1,28.4,33.8,53.9,70.4,67.1,17.3,17.7,0.4,110.2,19.2,19.49,5,33.1,48.8,70.8,77.93250936,68.86785936,68.15,-9.06465,146.8003687,1
Iowa St.,78,Texas,67,11,145,1,111.1,19.2,34.2,25.9,91.2,26.9,28,40,35.1,51.9,66,64.2,18.6,17.4,0.4,111.1,40.5,18.12,7,31.8,49.3,71.4,117.9,17.1,29.7,31.7,95.8,22.2,28.7,34.8,33,56,75,69.2,16.2,17.7,-0.7,117.9,47.1,27.42,12,32.4,48.3,72.1,69.50288575,69.47028575,66.7,-0.0326,138.9731715,1
Kansas St.,83,Kansas,82,1,165,1,113.9,19.4,31.8,38,94.3,21.4,29.8,36.7,35.3,51,75.1,69.5,16.5,17.7,0.9,113.9,19.2,15.99,3,28.6,49,67.9,115.5,17.7,30.3,30.3,93.5,20.3,27.9,32.8,35.3,52,72.8,69.1,16.4,17.7,0.3,115.5,36.9,36.45,25,31.6,46.8,72.9,72.50017291,72.66337291,69.3,0.1632,145.1635458,0
Texas Tech,74,Baylor,81,-7,155,0,110.2,19.9,32.1,37.5,99.2,21.5,30.1,28.4,33.8,53.9,70.4,67.1,17.3,17.7,0.4,110.2,19.2,19.49,5,33.1,48.8,70.8,120.8,17.7,36.7,38.2,99.5,20.7,28.8,32.4,35.8,51.7,75,67.1,17.5,17.4,0.5,120.8,40.4,22.31,8,32.6,51.5,71.1,71.78949916,77.20079916,67.1,5.4113,148.9902983,0
Oklahoma St.,72,Oklahoma,56,16,128,1,108,20.9,31.4,31.3,90.3,19.5,28.4,31.5,32.7,50.9,71.3,67.5,17.2,17.7,1.4,108,47.5,20.06,7,29.4,43.2,74.8,112.3,19.7,23.1,28.9,98.6,15.3,27.3,30.2,35.3,53.7,73,64.7,18.2,18,0.7,112.3,46.2,21.28,8,29.8,47.9,72.4,68.69286564,64.54886564,66.1,-4.144,133.2417313,1
West Virginia,74,TCU,65,9,139,1,116.8,17.9,34.1,42.3,96.4,21.3,28,40.4,35.1,52.2,72,68.3,17.8,16.6,0.9,116.8,17,20.59,12,31.6,50.5,71.2,112.4,16.9,32.7,35.5,93.4,22.8,31.2,29,28.7,53.2,71.6,70.2,16,17.8,0.2,112.4,78.6,10.58,2,30.2,47.6,68.6,74.38794623,71.91844623,69.25,-2.4695,146.3063925,1
Kansas,60,TCU,83,-23,143,0,115.5,17.7,30.3,30.3,93.5,20.3,27.9,32.8,35.3,52,72.8,69.1,16.4,17.7,0.3,115.5,36.9,36.45,25,31.6,46.8,72.9,112.4,16.9,32.7,35.5,93.4,22.8,31.2,29,28.7,53.2,71.6,70.2,16,17.8,0.2,112.4,78.6,10.58,2,30.2,47.6,68.6,73.90350964,70.31400964,69.65,-3.5895,144.2175193,1
Kansas St.,68,Texas Tech,58,10,126,1,113.9,19.4,31.8,38,94.3,21.4,29.8,36.7,35.3,51,75.1,69.5,16.5,17.7,0.9,113.9,19.2,15.99,3,28.6,49,67.9,110.2,19.9,32.1,37.5,99.2,21.5,30.1,28.4,33.8,53.9,70.4,67.1,17.3,17.7,0.4,110.2,19.2,19.49,5,33.1,48.8,70.8,75.36873939,67.99493939,68.3,-7.3738,143.3636788,1
Oklahoma,60,Baylor,62,-2,122,0,112.3,19.7,23.1,28.9,98.6,15.3,27.3,30.2,35.3,53.7,73,64.7,18.2,18,0.7,112.3,46.2,21.28,8,29.8,47.9,72.4,120.8,17.7,36.7,38.2,99.5,20.7,28.8,32.4,35.8,51.7,75,67.1,17.5,17.4,0.5,120.8,40.4,22.31,8,32.6,51.5,71.1,71.91635894,75.42475894,65.9,3.5084,147.3411179,0
Oklahoma St.,61,Iowa St.,59,2,120,1,108,20.9,31.4,31.3,90.3,19.5,28.4,31.5,32.7,50.9,71.3,67.5,17.2,17.7,1.4,108,47.5,20.06,7,29.4,43.2,74.8,111.1,19.2,34.2,25.9,91.2,26.9,28,40,35.1,51.9,66,64.2,18.6,17.4,0.4,111.1,40.5,18.12,7,31.8,49.3,71.4,63.56583226,63.51453226,65.85,-0.0513,127.0803645,1
West Virginia,61,Texas,69,-8,130,0,116.8,17.9,34.1,42.3,96.4,21.3,28,40.4,35.1,52.2,72,68.3,17.8,16.6,0.9,116.8,17,20.59,12,31.6,50.5,71.2,117.9,17.1,29.7,31.7,95.8,22.2,28.7,34.8,33,56,75,69.2,16.2,17.7,-0.7,117.9,47.1,27.42,12,32.4,48.3,72.1,75.51167947,75.18042947,68.75,-0.33125,150.6921089,1
Baylor,75,Kansas,69,6,144,1,120.8,17.7,36.7,38.2,99.5,20.7,28.8,32.4,35.8,51.7,75,67.1,17.5,17.4,0.5,120.8,40.4,22.31,8,32.6,51.5,71.1,115.5,17.7,30.3,30.3,93.5,20.3,27.9,32.8,35.3,52,72.8,69.1,16.4,17.7,0.3,115.5,36.9,36.45,25,31.6,46.8,72.9,75.96963268,74.94633268,68.1,-1.0233,150.9159654,1
Iowa St.,80,Kansas St.,76,4,156,1,111.1,19.2,34.2,25.9,91.2,26.9,28,40,35.1,51.9,66,64.2,18.6,17.4,0.4,111.1,40.5,18.12,7,31.8,49.3,71.4,113.9,19.4,31.8,38,94.3,21.4,29.8,36.7,35.3,51,75.1,69.5,16.5,17.7,0.9,113.9,19.2,15.99,3,28.6,49,67.9,68.65306578,66.95251578,66.85,-1.70055,135.6055816,1
TCU,79,Oklahoma,52,27,131,1,112.4,16.9,32.7,35.5,93.4,22.8,31.2,29,28.7,53.2,71.6,70.2,16,17.8,0.2,112.4,78.6,10.58,2,30.2,47.6,68.6,112.3,19.7,23.1,28.9,98.6,15.3,27.3,30.2,35.3,53.7,73,64.7,18.2,18,0.7,112.3,46.2,21.28,8,29.8,47.9,72.4,73.03298589,67.95813589,67.45,-5.07485,140.9911218,1
Texas,89,Oklahoma St.,75,14,164,1,117.9,17.1,29.7,31.7,95.8,22.2,28.7,34.8,33,56,75,69.2,16.2,17.7,-0.7,117.9,47.1,27.42,12,32.4,48.3,72.1,108,20.9,31.4,31.3,90.3,19.5,28.4,31.5,32.7,50.9,71.3,67.5,17.2,17.7,1.4,108,47.5,20.06,7,29.4,43.2,74.8,72.07366606,67.56626606,68.35,-4.5074,139.6399321,1
Texas Tech,61,West Virginia,76,-15,137,0,110.2,19.9,32.1,37.5,99.2,21.5,30.1,28.4,33.8,53.9,70.4,67.1,17.3,17.7,0.4,110.2,19.2,19.49,5,33.1,48.8,70.8,116.8,17.9,34.1,42.3,96.4,21.3,28,40.4,35.1,52.2,72,68.3,17.8,16.6,0.9,116.8,17,20.59,12,31.6,50.5,71.2,70.31931927,75.18311927,67.7,4.8638,145.5024385,0
Texas,76,Baylor,71,5,147,1,117.9,17.1,29.7,31.7,95.8,22.2,28.7,34.8,33,56,75,69.2,16.2,17.7,-0.7,117.9,47.1,27.42,12,32.4,48.3,72.1,120.8,17.7,36.7,38.2,99.5,20.7,28.8,32.4,35.8,51.7,75,67.1,17.5,17.4,0.5,120.8,40.4,22.31,8,32.6,51.5,71.1,78.13695936,76.09175936,68.15,-2.0452,154.2287187,1
Texas Tech,80,Iowa St.,77,3,157,1,110.2,19.9,32.1,37.5,99.2,21.5,30.1,28.4,33.8,53.9,70.4,67.1,17.3,17.7,0.4,110.2,19.2,19.49,5,33.1,48.8,70.8,111.1,19.2,34.2,25.9,91.2,26.9,28,40,35.1,51.9,66,64.2,18.6,17.4,0.4,111.1,40.5,18.12,7,31.8,49.3,71.4,64.82162556,69.16447556,65.65,4.34285,133.9861011,0
Kansas,90,Kansas St.,78,12,168,1,115.5,17.7,30.3,30.3,93.5,20.3,27.9,32.8,35.3,52,72.8,69.1,16.4,17.7,0.3,115.5,36.9,36.45,25,31.6,46.8,72.9,113.9,19.4,31.8,38,94.3,21.4,29.8,36.7,35.3,51,75.1,69.5,16.5,17.7,0.9,113.9,19.2,15.99,3,28.6,49,67.9,74.16337291,71.00017291,69.3,-3.1632,145.1635458,1
TCU,76,West Virginia,72,4,148,1,112.4,16.9,32.7,35.5,93.4,22.8,31.2,29,28.7,53.2,71.6,70.2,16,17.8,0.2,112.4,78.6,10.58,2,30.2,47.6,68.6,116.8,17.9,34.1,42.3,96.4,21.3,28,40.4,35.1,52.2,72,68.3,17.8,16.6,0.9,116.8,17,20.59,12,31.6,50.5,71.2,73.41844623,72.88794623,69.25,-0.5305,146.3063925,1
Oklahoma,61,Oklahoma St.,71,-10,132,0,112.3,19.7,23.1,28.9,98.6,15.3,27.3,30.2,35.3,53.7,73,64.7,18.2,18,0.7,112.3,46.2,21.28,8,29.8,47.9,72.4,108,20.9,31.4,31.3,90.3,19.5,28.4,31.5,32.7,50.9,71.3,67.5,17.2,17.7,1.4,108,47.5,20.06,7,29.4,43.2,74.8,66.04886564,67.19286564,66.1,1.144,133.2417313,0
Baylor,89,Texas Tech,62,27,151,1,120.8,17.7,36.7,38.2,99.5,20.7,28.8,32.4,35.8,51.7,75,67.1,17.5,17.4,0.5,120.8,40.4,22.31,8,32.6,51.5,71.1,110.2,19.9,32.1,37.5,99.2,21.5,30.1,28.4,33.8,53.9,70.4,67.1,17.3,17.7,0.4,110.2,19.2,19.49,5,33.1,48.8,70.8,78.70079916,70.28949916,67.1,-8.4113,148.9902983,1
Iowa St.,68,Kansas,53,15,121,1,111.1,19.2,34.2,25.9,91.2,26.9,28,40,35.1,51.9,66,64.2,18.6,17.4,0.4,111.1,40.5,18.12,7,31.8,49.3,71.4,115.5,17.7,30.3,30.3,93.5,20.3,27.9,32.8,35.3,52,72.8,69.1,16.4,17.7,0.3,115.5,36.9,36.45,25,31.6,46.8,72.9,67.91895908,67.81860908,66.65,-0.10035,135.7375682,1
Kansas St.,66,Texas,69,-3,135,0,113.9,19.4,31.8,38,94.3,21.4,29.8,36.7,35.3,51,75.1,69.5,16.5,17.7,0.9,113.9,19.2,15.99,3,28.6,49,67.9,117.9,17.1,29.7,31.7,95.8,22.2,28.7,34.8,33,56,75,69.2,16.2,17.7,-0.7,117.9,47.1,27.42,12,32.4,48.3,72.1,74.14644958,74.38019958,69.35,0.23375,148.5266492,0
Oklahoma St.,79,TCU,73,6,152,1,108,20.9,31.4,31.3,90.3,19.5,28.4,31.5,32.7,50.9,71.3,67.5,17.2,17.7,1.4,108,47.5,20.06,7,29.4,43.2,74.8,112.4,16.9,32.7,35.5,93.4,22.8,31.2,29,28.7,53.2,71.6,70.2,16,17.8,0.2,112.4,78.6,10.58,2,30.2,47.6,68.6,67.90813282,67.30318282,68.85,-0.60495,135.2113156,1
West Virginia,93,Oklahoma,61,32,154,1,116.8,17.9,34.1,42.3,96.4,21.3,28,40.4,35.1,52.2,72,68.3,17.8,16.6,0.9,116.8,17,20.59,12,31.6,50.5,71.2,112.3,19.7,23.1,28.9,98.6,15.3,27.3,30.2,35.3,53.7,73,64.7,18.2,18,0.7,112.3,46.2,21.28,8,29.8,47.9,72.4,74.95147905,68.99597905,66.5,-5.9555,143.9474581,1
Maryland,71,Illinois,66,5,137,1,113.4,16.6,30.5,34.5,94.8,19,28.4,28.4,30.2,53.6,73.9,65.2,17.6,18.9,0.2,113.4,45.5,22.91,12,30.8,46.2,72.2,112.3,19.1,33.7,33,93.8,19.9,26,30.1,31.7,55.9,67.3,69.2,16.8,17.4,1.2,112.3,12.8,24.77,13,32.4,43.5,70.4,70.21425251,68.64705251,67.2,-1.5672,138.861305,1
Rutgers,63,Indiana,48,15,111,1,107.7,17.6,32.9,30.1,87.5,22.6,27.4,27.9,32.2,48.7,72.9,66,17.3,18.3,0.8,107.7,58.6,9.82,0,29.3,43.9,69.5,116.5,17.4,30.2,30.3,97.3,17.1,27,29.2,38.2,54.3,70.7,68.1,16.4,18.3,0.3,116.5,61.2,22.97,9,32.8,45.8,67.4,68.58577249,66.41527249,67.05,-2.1705,135.001045,1
Michigan St.,63,Northwestern,70,-7,133,0,110.4,16.8,27.1,25.3,95.2,14.6,24.3,29.6,37.3,47.4,74.1,65,18.3,18.2,0.9,110.4,49.7,31.24,18,29.4,47.8,71.1,108.9,15.5,29.4,31.6,95.9,21.7,27.2,29.2,31.6,47,74.6,65.4,18.4,17.7,1.2,108.9,55.8,10.34,0,35.2,43.8,68.4,67.58238547,64.64798547,65.2,-2.9344,132.2303709,1
Purdue,89,Minnesota,70,19,159,1,120.9,17,38.7,35.8,94.5,15.8,23.2,17.1,33.9,54.1,75,63.7,19.2,18.1,3.4,120.9,36.5,23.19,12,30.6,46.5,72.8,100,19.6,25.9,30.9,104,15.5,31.2,21,30,48.1,60.9,65,19,17.6,1.3,100,17.3,15.9,2,35.5,47.8,72.1,78.68998198,57.62758198,64.35,-21.0624,136.317564,1
Wisconsin,64,Maryland,59,5,123,1,106.3,13.8,20.8,24.7,95,19,25.3,27.1,36.1,45.5,65,62.7,19.6,18.3,1.5,106.3,47.4,24.31,18,32.8,50,68.8,113.4,16.6,30.5,34.5,94.8,19,28.4,28.4,30.2,53.6,73.9,65.2,17.6,18.9,0.2,113.4,45.5,22.91,12,30.8,46.2,72.2,62.99006858,66.15841858,63.95,3.16835,129.1484872,0
Indiana,81,Nebraska,65,16,146,1,116.5,17.4,30.2,30.3,97.3,17.1,27,29.2,38.2,54.3,70.7,68.1,16.4,18.3,0.3,116.5,61.2,22.97,9,32.8,45.8,67.4,104.5,19.2,26.3,27.2,97.8,17.8,28,22.1,31.4,52.1,63,65.9,17.4,18.3,0.2,104.5,33.4,12.04,0,32.4,50.2,68.2,74.76674581,64.89174581,67,-9.875,139.6584916,1
Penn St.,58,Michigan St.,67,-9,125,0,115.5,13,17.4,18,101.4,14.4,24.8,26.1,38.4,53.2,76,64.7,18.5,18,-1.3,115.5,47.8,12.17,1,34.1,47.8,69.3,110.4,16.8,27.1,25.3,95.2,14.6,24.3,29.6,37.3,47.4,74.1,65,18.3,18.2,0.9,110.4,49.7,31.24,18,29.4,47.8,71.1,70.08104874,69.29439874,64.85,-0.78665,139.3754475,1
Minnesota,75,Michigan,90,-15,165,0,100,19.6,25.9,30.9,104,15.5,31.2,21,30,48.1,60.9,65,19,17.6,1.3,100,17.3,15.9,2,35.5,47.8,72.1,112.5,14,25.1,31.2,99.3,15.7,27.2,25.2,34.3,50.8,69,67.7,17.5,17.6,2.1,112.5,27.6,26.52,10,31.6,48.8,69.4,64.10344902,74.01564902,66.35,9.9122,138.119098,0
Ohio St.,67,Rutgers,66,1,133,1,116.9,15.9,33.5,28,100.5,16.6,27.7,28,37.6,49.8,72.7,67,17.7,17.7,-0.7,116.9,11.3,27.25,15,30.4,47.8,71.9,107.7,17.6,32.9,30.1,87.5,22.6,27.4,27.9,32.2,48.7,72.9,66,17.3,18.3,0.8,107.7,58.6,9.82,0,29.3,43.9,69.5,67.63647905,68.66347905,66.5,1.027,136.2999581,0
Illinois,59,Penn St.,74,-15,133,0,112.3,19.1,33.7,33,93.8,19.9,26,30.1,31.7,55.9,67.3,69.2,16.8,17.4,1.2,112.3,12.8,24.77,13,32.4,43.5,70.4,115.5,13,17.4,18,101.4,14.4,24.8,26.1,38.4,53.2,76,64.7,18.5,18,-1.3,115.5,47.8,12.17,1,34.1,47.8,69.3,74.31036913,69.86456913,66.95,-4.4458,144.1749383,1
Nebraska,62,Purdue,65,-3,127,0,104.5,19.2,26.3,27.2,97.8,17.8,28,22.1,31.4,52.1,63,65.9,17.4,18.3,0.2,104.5,33.4,12.04,0,32.4,50.2,68.2,120.9,17,38.7,35.8,94.5,15.8,23.2,17.1,33.9,54.1,75,63.7,19.2,18.1,3.4,120.9,36.5,23.19,12,30.6,46.5,72.8,62.44657207,73.71217207,64.8,11.2656,136.1587441,0
Iowa,75,Wisconsin,78,-3,153,0,120.9,14.6,31.9,35.6,104,18.5,29,20.9,35.2,52.1,74.7,69.7,15.7,18.2,0.5,120.9,59.1,19.08,10,34.2,51.1,73.3,106.3,13.8,20.8,24.7,95,19,25.3,27.1,36.1,45.5,65,62.7,19.6,18.3,1.5,106.3,47.4,24.31,18,32.8,50,68.8,74.95111899,69.74391899,66.2,-5.2072,144.695038,1
